Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
2025-12-25 19:27:36,1146,2762,13.8
2025-12-25 19:27:37,1139,2762,34.2
2025-12-25 19:27:38,1139,2762,5.8
2025-12-25 19:27:39,1139,2762,15.6
2025-12-25 19:27:41,1138,2762,8.0
2025-12-25 19:27:42,1139,2762,2.5
2025-12-25 19:27:43,1141,2762,10.7
2025-12-25 19:27:44,1141,2762,18.5
2025-12-25 19:27:45,1140,2762,3.8
2025-12-25 19:27:46,1141,2762,7.4
2025-12-25 19:27:47,1143,2762,12.3
2025-12-25 19:27:48,1141,2762,11.7
2025-12-25 19:27:49,1142,2762,7.6
2025-12-25 19:27:50,1143,2762,19.1
2025-12-25 19:27:51,1142,2762,10.6
2025-12-25 19:27:52,1143,2762,4.9
2025-12-25 19:27:53,1144,2762,9.7
2025-12-25 19:27:54,1146,2762,14.3
2025-12-25 19:27:55,1144,2762,4.2
2025-12-25 19:27:56,1144,2762,4.2
2025-12-25 19:27:57,1146,2762,16.7
2025-12-25 19:27:58,1146,2762,9.6
2025-12-25 19:27:59,1146,2762,4.0
2025-12-25 19:28:00,1147,2762,12.7
2025-12-25 19:28:01,1141,2762,36.2
2025-12-25 19:28:03,1141,2762,20.6
2025-12-25 19:28:04,1143,2762,18.8
2025-12-25 19:28:05,1148,2762,20.6
2025-12-25 19:28:06,1145,2762,14.2
2025-12-25 19:28:07,1146,2762,16.8
2025-12-25 19:28:08,1156,2762,37.5
19:48:02,1167,2762,13.4
19:48:03,1174,2762,48.3
19:48:04,1172,2762,29.3
19:48:05,1173,2762,24.3
19:48:06,1174,2762,28.8
19:48:07,1176,2762,26.1
19:48:08,1173,2762,33.9
19:48:09,1186,2762,20.7
19:48:10,1186,2762,22.7
19:48:11,1185,2762,12.5
19:48:12,1185,2762,7.1
19:48:13,1187,2762,17.6
19:48:14,1189,2762,27.1
19:48:15,1187,2762,11.7
19:48:16,1187,2762,18.6
19:48:17,1190,2762,19.3
19:48:18,1181,2762,28.2
19:48:20,1181,2762,19.6
19:48:21,1182,2762,19.8
19:48:22,1183,2762,14.0
19:48:23,1182,2762,19.1
19:48:24,1182,2762,14.3
19:48:25,1184,2762,29.6
19:48:26,1183,2762,12.4
19:48:27,1183,2762,11.8
19:48:28,1186,2762,19.9
19:48:29,1188,2762,17.4
19:48:30,1185,2762,5.4
19:48:31,1187,2762,17.5
19:53:15,1185,2762,13.1
19:53:16,1190,2762,8.9
19:53:17,1193,2762,18.5
19:53:18,1192,2762,15.4
19:53:19,1188,2762,32.9
19:53:20,1190,2762,19.6
19:53:21,1189,2762,17.6
19:53:22,1189,2762,3.9
19:53:23,1190,2762,14.4
19:53:25,1195,2762,24.5
19:53:26,1191,2762,9.2
19:53:27,1190,2762,6.6
19:53:28,1189,2762,18.8
19:53:29,1187,2762,14.3
19:53:30,1190,2762,19.5
19:53:31,1192,2762,17.8
19:53:32,1192,2762,16.7
19:53:33,1191,2762,14.2
19:53:34,1193,2762,15.4
19:53:35,1196,2762,25.3
19:53:36,1188,2762,24.2
19:53:37,1186,2762,7.6
19:53:38,1187,2762,16.4
19:53:39,1187,2762,11.9
19:53:40,1190,2762,14.6
19:53:41,1189,2762,12.8
19:53:42,1191,2762,15.2
19:53:43,1188,2762,3.8
19:53:45,1189,2762,10.5
19:53:46,1193,2762,21.4
19:53:47,1191,2762,14.8
19:53:48,1191,2762,14.8
19:53:49,1193,2762,14.7
19:53:50,1193,2762,14.1
19:53:51,1194,2762,11.0
19:53:52,1187,2762,31.7
19:53:53,1186,2762,13.3
19:53:54,1187,2762,12.4
19:53:55,1189,2762,13.2
19:53:57,1188,2762,8.5
19:53:58,1187,2762,6.8
19:54:00,1189,2762,9.1
19:54:01,1190,2762,5.1
19:54:02,1189,2762,1.8
19:54:03,1189,2762,0.9
19:54:05,1187,2762,7.6
19:54:07,1189,2762,3.2
19:54:09,1190,2762,16.8
19:54:11,1192,2762,11.1
19:54:13,1190,2762,2.7
19:54:14,1190,2762,8.9
19:54:16,1190,2762,9.6
19:54:17,1190,2762,4.0
19:54:18,1190,2762,2.4
19:54:20,1190,2762,9.3
19:54:21,1190,2762,1.0
19:54:22,1190,2762,1.5
19:54:23,1190,2762,3.5
19:54:25,1191,2762,2.2
19:54:27,1191,2762,6.0
19:54:29,1191,2762,9.9
19:54:30,1191,2762,6.0
19:54:32,1191,2762,5.8
19:54:33,1193,2762,8.6
19:54:35,1192,2762,8.8
